session_id,customer_id,pages_viewed,time_on_site,device_type,traffic_source,session_date,converted,bounce,cart_additions,checkout_started,exit_page,browser,is_logged_in
1,9716,8,271.2382065201882,desktop,organic,2022-06-18,0,0,0,0,homepage,Chrome,1
2,4617,5,257.3868415138415,mobile,social,2020-07-03,0,0,3,1,checkout,Chrome,1
3,1506,4,289.6798883960912,tablet,paid,2020-12-12,0,0,3,1,cart,Chrome,1
4,3869,5,146.5433763536737,mobile,direct,2023-09-12,0,1,2,1,homepage,Chrome,1
5,6245,3,339.2282086495588,mobile,email,2019-04-02,0,0,2,1,product,Safari,1
6,7578,8,200.05760963504645,tablet,paid,2022-07-22,0,0,2,0,product,Firefox,1
7,6521,8,17.707506524462655,tablet,email,2024-01-14,1,1,1,1,homepage,Chrome,0
8,7338,2,328.6275207515331,desktop,email,2024-06-27,0,0,3,1,homepage,Edge,1
9,2187,3,51.638969065809626,tablet,direct,2019-10-30,0,0,2,1,cart,Chrome,1
10,2675,5,303.36067121072193,mobile,direct,2020-02-04,0,0,2,1,checkout,Chrome,0
11,3518,3,193.74776520601,desktop,direct,2022-09-13,0,1,0,0,checkout,Chrome,1
12,2688,8,373.3068500589768,tablet,social,2024-09-23,0,1,1,1,checkout,Chrome,0
13,1760,3,69.06544837644567,tablet,email,2023-07-12,0,0,1,1,homepage,Chrome,1
14,7571,8,303.72954218847144,mobile,social,2022-03-24,0,0,3,1,checkout,Firefox,1
15,3220,2,297.5769287145886,tablet,social,2023-01-10,0,1,1,0,product,Chrome,0
16,2530,4,382.57096868211727,mobile,social,2023-09-14,0,0,2,1,homepage,Firefox,1
17,9294,5,167.75679818880468,mobile,social,2020-01-07,0,0,3,1,homepage,Firefox,1
18,4506,3,516.4385774224208,tablet,paid,2022-12-17,0,0,3,1,homepage,Safari,1
19,1328,6,445.5920630410197,desktop,social,2022-09-19,0,0,1,0,checkout,Firefox,1
20,6563,6,372.8552764619613,desktop,email,2023-07-17,0,0,1,1,homepage,Safari,1
21,5650,5,345.4946285363247,tablet,organic,2020-02-15,0,0,2,1,homepage,Edge,1
22,2946,5,426.3002838522626,mobile,direct,2020-04-03,0,0,1,1,checkout,Chrome,0
23,9508,3,247.90067869312236,mobile,paid,2024-06-15,0,0,0,0,checkout,Chrome,1
24,8822,4,119.69215187335963,tablet,organic,2022-08-17,0,0,3,1,homepage,Chrome,1
25,9500,4,217.53262346301204,tablet,paid,2023-01-28,0,0,2,1,homepage,Chrome,0
26,151,5,236.32598734618173,desktop,email,2023-04-12,0,0,3,1,product,Chrome,1
27,4104,4,289.9211732013234,desktop,direct,2020-01-20,0,0,0,0,product,Safari,1
28,4475,4,357.21332297264746,tablet,direct,2021-06-12,0,0,1,0,product,Firefox,1
29,3478,5,355.2307067181278,tablet,direct,2023-10-21,1,0,1,1,product,Chrome,1
30,8053,6,230.73341892876232,mobile,paid,2024-02-04,0,0,1,0,homepage,Chrome,1
31,9194,6,252.1513566430347,tablet,email,2024-01-01,0,0,2,1,checkout,Chrome,0
32,7906,7,166.11934007109585,mobile,direct,2022-10-31,0,0,0,0,cart,Safari,1
33,413,8,78.9792510510865,desktop,organic,2020-10-28,0,1,0,0,homepage,Edge,0
34,9136,7,235.75124895060355,desktop,email,2023-08-27,1,0,1,1,homepage,Safari,1
35,1842,7,205.5243893948044,mobile,email,2019-10-29,1,1,0,0,product,Chrome,0
36,6837,8,345.9974642443548,tablet,social,2023-09-12,1,1,2,0,checkout,Chrome,1
37,4103,7,277.17722419208025,tablet,email,2023-06-25,0,0,1,0,homepage,Chrome,0
38,5045,4,414.4453506491488,mobile,organic,2020-12-24,0,0,1,1,cart,Chrome,0
39,1489,5,63.52766151844301,desktop,email,2021-05-31,0,0,3,1,checkout,Chrome,1
40,1014,4,340.51876056623144,desktop,paid,2024-11-28,0,0,1,0,homepage,Chrome,1
41,7019,2,201.72017118317763,desktop,paid,2022-12-11,0,0,2,1,cart,Edge,1
42,8201,5,410.8004330042983,mobile,paid,2020-07-06,0,1,4,1,cart,Edge,1
43,3984,4,254.40405643866853,mobile,organic,2020-12-26,0,0,2,0,homepage,Safari,0
44,6068,2,256.6417581251524,mobile,paid,2022-04-24,0,0,2,0,product,Safari,1
45,8470,4,239.1643255565137,tablet,social,2019-08-09,0,1,0,0,product,Firefox,1
46,9490,4,232.0966894982768,desktop,organic,2023-04-10,0,0,3,1,homepage,Safari,0
47,331,5,283.07467563280363,,social,2024-02-14,0,0,2,1,homepage,Chrome,1
48,5888,6,209.97309768912208,tablet,organic,2023-09-05,0,0,1,1,homepage,Safari,1
49,688,3,221.72574533752984,mobile,organic,2023-12-14,1,0,0,0,product,Chrome,1
50,1618,5,227.71066535608875,mobile,social,2023-11-21,0,0,2,1,product,Chrome,1
51,2341,1,356.5195670186515,desktop,direct,2023-07-14,0,1,2,0,cart,Edge,1
52,1250,3,250.8370479926591,mobile,organic,2024-01-19,0,0,1,1,checkout,Chrome,0
53,8306,8,318.1568003669716,mobile,direct,2022-07-30,0,0,1,1,cart,Chrome,0
54,4131,5,429.6823144869609,desktop,social,2022-08-17,0,0,2,0,product,Chrome,1
55,9918,3,431.0176240385347,desktop,direct,2020-05-28,1,1,0,0,cart,Chrome,0
56,790,2,571.9473943703662,desktop,social,2019-01-07,0,0,0,0,checkout,Safari,0
57,3447,2,350.7912717726871,desktop,direct,2022-12-09,0,0,1,1,checkout,Safari,0
58,2420,4,145.7853669162418,mobile,email,2022-09-17,0,0,0,0,checkout,Chrome,0
59,2386,9,239.31421661280308,mobile,email,2019-10-19,1,0,2,1,checkout,Chrome,1
60,3975,6,363.1494053087519,tablet,social,2023-05-01,1,0,2,1,checkout,Safari,0
61,3430,4,236.0786877718224,desktop,paid,2021-07-03,0,0,1,0,cart,Edge,1
62,1341,6,361.7083706484399,desktop,paid,2024-07-19,0,0,0,0,product,Chrome,0
63,6334,2,112.31037733060188,mobile,organic,2019-12-10,0,0,0,0,cart,Chrome,1
64,7998,6,299.6349015080631,desktop,email,2020-07-03,0,0,3,0,cart,Chrome,0
65,2186,5,200.89649465990007,mobile,paid,2022-04-08,0,0,1,0,checkout,Firefox,1
66,5093,8,100.7031274458672,tablet,social,2021-11-13,0,0,0,0,product,Chrome,1
67,662,5,329.97140144998366,tablet,direct,2024-06-15,0,0,0,0,cart,Chrome,0
68,6684,3,446.3196973671588,mobile,paid,2024-04-10,0,0,1,1,homepage,Safari,0
69,3885,3,378.7914936717923,mobile,direct,2021-12-04,0,0,1,1,checkout,Edge,0
70,7463,8,259.75307363811726,mobile,organic,2021-01-12,0,0,1,0,homepage,Safari,0
71,6659,1,354.5402882946978,mobile,paid,2024-11-19,0,1,3,0,product,Edge,1
72,1631,5,308.43867134781993,desktop,paid,2020-10-25,0,1,1,1,checkout,Chrome,1
73,8413,3,36.50558770704789,mobile,paid,2023-07-11,0,0,2,1,checkout,Edge,1
74,216,7,327.44551115821355,desktop,organic,2019-01-01,0,0,1,1,product,Safari,1
75,4947,5,316.80333866710646,mobile,organic,2020-09-03,0,0,4,0,product,Chrome,1
76,8925,4,363.25435098694254,tablet,paid,2022-02-27,1,0,0,0,cart,Chrome,1
77,4059,8,39.32505977400665,desktop,social,2020-08-16,0,1,1,0,homepage,Chrome,1
78,9650,6,417.9541322074598,desktop,paid,2021-06-23,1,0,4,1,homepage,Chrome,1
79,3421,7,326.963740165174,tablet,email,2021-01-19,0,0,3,1,cart,Chrome,1
80,4540,3,194.47366283666972,mobile,social,2023-11-09,0,0,0,0,homepage,Safari,1
81,721,6,221.30088663086684,mobile,paid,2023-09-04,0,0,2,0,product,Chrome,1
82,8587,10,349.65980861806986,tablet,organic,2021-04-30,1,0,1,1,checkout,Chrome,0
83,1379,2,252.60084557006405,tablet,direct,2022-11-09,0,0,1,0,product,Chrome,0
84,6421,5,226.09461107617764,mobile,email,2019-05-31,0,0,2,1,cart,Safari,0
85,2875,4,393.6070111531646,mobile,social,2022-07-17,0,0,3,1,homepage,Chrome,1
86,2935,6,57.85891916768424,mobile,social,2023-02-10,0,0,1,1,cart,Chrome,1
87,1606,2,231.11731872604005,tablet,direct,2022-02-24,0,0,0,0,homepage,Edge,0
88,419,4,409.777264361964,mobile,organic,2021-03-27,0,0,0,0,cart,Safari,1
89,2227,3,467.9125650279965,desktop,paid,2022-05-01,0,0,1,1,checkout,Chrome,1
90,1616,9,407.8232391697774,mobile,email,2022-06-29,0,0,0,0,product,Chrome,1
91,581,6,384.6418894327345,desktop,social,2024-11-01,0,0,1,1,homepage,Chrome,1
92,6493,8,346.80073128162707,mobile,email,2024-12-20,0,0,0,0,product,Safari,1
93,928,4,423.98012864095136,desktop,direct,2023-01-29,0,0,1,1,cart,Chrome,1
94,5702,3,406.9402959795085,tablet,paid,2023-02-09,0,0,3,1,homepage,Edge,1
95,7071,5,363.9793108859327,desktop,organic,2023-02-25,0,0,2,0,product,Chrome,1
96,3136,3,310.3434333295798,desktop,paid,2022-07-07,1,1,3,1,checkout,Chrome,0
97,7588,2,137.63328827412624,desktop,email,2020-11-30,0,0,3,0,product,Chrome,1
98,365,4,146.59348345596464,mobile,organic,2019-08-30,0,0,1,1,homepage,Chrome,1
99,5530,5,330.8491194623357,desktop,email,2021-03-12,0,0,2,1,product,Safari,1
100,4160,7,504.1009270724377,tablet,direct,2019-02-08,1,1,3,0,product,Chrome,0
101,8533,4,58.8820673467861,mobile,social,2024-04-27,0,0,3,0,checkout,Safari,0
102,8186,7,465.033041030635,tablet,social,2021-04-05,0,0,0,0,product,Firefox,1
103,4378,11,188.95971943643093,tablet,organic,2022-09-14,1,0,2,0,homepage,Chrome,1
104,8925,4,594.4676514270385,tablet,direct,2022-08-06,0,0,2,0,product,Safari,1
105,884,11,273.92349030998344,mobile,email,2021-06-30,0,0,0,0,homepage,Firefox,1
106,7555,6,284.4051784245723,desktop,paid,2020-04-23,1,1,2,1,checkout,Chrome,1
107,9356,6,99.50246862896768,mobile,direct,2019-07-09,0,0,3,0,product,Chrome,0
108,277,8,515.166322225993,desktop,social,2022-12-25,0,0,0,0,cart,Chrome,0
109,5073,4,380.9476773599752,desktop,organic,2022-08-25,0,0,1,0,checkout,Safari,0
110,2999,6,451.143444112032,mobile,direct,2023-02-27,0,0,1,1,checkout,Chrome,1
111,8090,4,209.30084543514013,tablet,paid,2019-07-12,0,0,1,0,homepage,Chrome,1
112,1799,7,380.73348016636544,tablet,organic,2019-01-30,0,0,2,1,product,Chrome,1
113,6838,1,206.11166890849915,tablet,email,2021-10-31,0,1,3,1,product,Chrome,1
114,8892,5,411.3537630157461,desktop,social,2024-07-21,0,0,3,0,homepage,Safari,0
115,6360,2,371.1033301062984,desktop,paid,2024-06-23,0,0,0,0,checkout,Safari,0
116,3988,3,182.4553472035804,mobile,organic,2024-07-11,0,0,0,0,product,Chrome,0
117,2734,1,246.75881825676112,mobile,organic,2023-01-03,0,1,1,1,checkout,Chrome,1
118,7304,2,420.3131481525066,tablet,social,2024-09-27,0,0,0,0,checkout,Firefox,0
119,893,5,265.0781335391371,mobile,email,2024-04-04,0,1,0,0,checkout,Chrome,1
120,9786,3,309.4709521359747,tablet,direct,2023-08-26,1,0,4,1,homepage,Safari,0
121,5290,7,300.0705584757111,desktop,direct,2022-12-18,0,1,0,0,checkout,Chrome,1
122,8956,4,399.82156242995273,desktop,paid,2020-09-11,0,0,3,1,cart,Edge,1
123,6074,5,351.69290114371154,tablet,direct,2024-05-21,0,1,1,1,cart,Chrome,1
124,3705,5,204.20443099858693,desktop,email,2020-11-27,0,0,1,1,checkout,Firefox,1
125,9182,7,348.4452688145389,tablet,email,2020-07-26,0,0,2,1,product,Chrome,0
126,3103,11,179.70879821148367,tablet,email,2023-08-20,0,0,1,1,homepage,Chrome,1
127,2730,6,317.7065031925952,tablet,social,2019-09-07,0,0,4,0,homepage,Chrome,1
128,6760,5,306.48560931476004,mobile,social,2021-11-02,0,1,0,0,cart,Edge,1
129,6622,4,448.72902867423056,desktop,email,2024-09-19,0,0,2,0,product,Chrome,1
130,3367,4,132.21941984977465,mobile,social,2023-07-01,0,0,1,1,cart,Chrome,0
131,5975,4,234.031035460978,desktop,social,2023-10-21,0,0,0,0,product,Chrome,1
132,1786,3,315.94978990697774,desktop,direct,2019-01-07,0,1,1,0,product,Chrome,1
133,7436,7,172.16861948870536,mobile,paid,2021-09-09,0,0,2,0,product,Chrome,0
134,5389,7,184.21112935087123,mobile,social,2022-12-25,1,0,1,0,product,Firefox,1
